1.119999, -1, 0, 5, 0, 0.0424738141012220910876, 1295.034, -511.6669, -5.557111, 0.000483026, 0.02479935, 46.09024, 0.3020116, 0.2679502, 0.0001962442
 
1.129999, 1, -0.01, 5, 0, 0.0428431322386703667492, 1270.895, -511.6669, -5.557111, 0.000483026, 0.02479935, 45.65953, 0.3020116, 0.2679502, 0.0001962442
 
1.139999, -1, 0, 5, 0, 0.0432191497295755793505408838, 1247.327, -511.6669, -5.557111, 0.000483026, 0.02479935, 45.23504, 0.3020116, 0.2679502, 0.0001962442
 
1.149999, 1, -0.01, 5, 0, 0.0436014324905608142730, 1224.311, -511.6669, -5.557111, 0.000483026, 0.02479935, 44.81658, 0.3020116, 0.2679502, 0.0001962442
 
1.159999, -1, 0, 5, 0, 0.0439897056021533165886, 1201.83, -511.6669, -5.557111, 0.000483026, 0.02479935, 44.40404, 0.3020116, 0.2679502, 0.0001962442
 
1.169999, 1, -0.01, 5, 0, 0.0443836796754348538293408838, 1179.868, -511.6669, -5.557111, 0.000483026, 0.02479935, 43.99725, 0.3020116, 0.2679502, 0.0001962442
 
1.179999, -1, 0, 5, 0, 0.0447829929742580694936, 1158.409, -511.6669, -5.557111, 0.000483026, 0.02479935, 43.59611, 0.3020116, 0.2679502, 0.0001962442
 
1.189999, 1, -0.01, 5, 0, 0.0451874429263799114648591162, 1137.439, -511.6669, -5.557111, 0.000483026, 0.02479935, 43.20048, 0.3020116, 0.2679502, 0.0001962442
 
1.199999, -1, 0, 5, 0, 0.0455967980206655043798, 1116.941, -511.6669, -5.557111, 0.000483026, 0.02479935, 42.81022, 0.3020116, 0.2679502, 0.0001962442
 
1.209999, 1, -0.01, 5, 0, 0.0460109135626563107822591162, 1096.904, -511.6669, -5.557111, 0.000483026, 0.02479935, 42.42523, 0.3020116, 0.2679502, 0.0001962442
 
1.219999, -1, 0, 5, 0, 0.0464295435717712542966, 1077.312, -511.6669, -5.557111, 0.000483026, 0.02479935, 42.04539, 0.3020116, 0.2679502, 0.0001962442
 
1.229999, 1, -0.01, 5, 0, 0.0468525578229975643956, 1058.154, -511.6669, -5.557111, 0.000483026, 0.02479935, 41.67057, 0.3020116, 0.2679502, 0.0001962442
 
